Trace: 1,,,Trace: 2,,,Trace: 3,,,Trace: 4,,,Trace: 5,,,Trace: 6,,,Trace: 7,,,Trace: 8,,,Trace: 9,,,Trace: 10,,,Trace: 11,,,Trace: 12,,,Trace: 13,,,Trace: 14,,,Trace: 15,,,Trace: 16,
S11,,,S12,,,S13,,,S14,,,S21,,,S22,,,S23,,,S24,,,S31,,,S32,,,S33,,,S34,,,S41,,,S42,,,S43,,,S44,
Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,,,Formatted Data,
Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag,,Time,LinMag
6.16E+08,49.42113,,6.16E+08,50.94866,,6.16E+08,50.14731,,6.16E+08,50.32379,,6.16E+08,50.57205,,6.16E+08,48.62356,,6.16E+08,50.06356,,6.16E+08,49.6777,,6.16E+08,50.11713,,6.16E+08,50.0569,,6.16E+08,49.95296,,6.16E+08,50.14015,,6.16E+08,50.33675,,6.16E+08,49.6749,,6.16E+08,50.13201,,6.16E+08,49.8925
6.56E+08,49.46538,,6.56E+08,50.91422,,6.56E+08,50.14826,,6.56E+08,50.31149,,6.56E+08,50.5414,,6.56E+08,48.6574,,6.56E+08,50.06162,,6.56E+08,49.69216,,6.56E+08,50.11804,,6.56E+08,50.05458,,6.56E+08,49.96312,,6.56E+08,50.13346,,6.56E+08,50.32422,,6.56E+08,49.68864,,6.56E+08,50.12471,,6.56E+08,49.89369
6.96E+08,49.51039,,6.96E+08,50.87999,,6.96E+08,50.14987,,6.96E+08,50.29905,,6.96E+08,50.51057,,6.96E+08,48.69288,,6.96E+08,50.06098,,6.96E+08,49.70689,,6.96E+08,50.1185,,6.96E+08,50.05271,,6.96E+08,49.96619,,6.96E+08,50.12648,,6.96E+08,50.3121,,6.96E+08,49.70242,,6.96E+08,50.11808,,6.96E+08,49.9026
7.36E+08,49.53942,,7.36E+08,50.84625,,7.36E+08,50.15118,,7.36E+08,50.28737,,7.36E+08,50.48017,,7.36E+08,48.72594,,7.36E+08,50.05864,,7.36E+08,49.7205,,7.36E+08,50.11941,,7.36E+08,50.0496,,7.36E+08,49.97464,,7.36E+08,50.121,,7.36E+08,50.30125,,7.36E+08,49.7158,,7.36E+08,50.11302,,7.36E+08,49.91529
7.76E+08,49.58048,,7.76E+08,50.81097,,7.76E+08,50.15288,,7.76E+08,50.27517,,7.76E+08,50.44829,,7.76E+08,48.76399,,7.76E+08,50.05463,,7.76E+08,49.73329,,7.76E+08,50.12162,,7.76E+08,50.04621,,7.76E+08,49.98756,,7.76E+08,50.11625,,7.76E+08,50.28996,,7.76E+08,49.72852,,7.76E+08,50.10819,,7.76E+08,49.91581
8.17E+08,49.63026,,8.17E+08,50.77512,,8.17E+08,50.15542,,8.17E+08,50.26284,,8.17E+08,50.416,,8.17E+08,48.8019,,8.17E+08,50.05059,,8.17E+08,49.74683,,8.17E+08,50.12491,,8.17E+08,50.04324,,8.17E+08,49.99582,,8.17E+08,50.11088,,8.17E+08,50.27822,,8.17E+08,49.74174,,8.17E+08,50.10289,,8.17E+08,49.9209
8.57E+08,49.66227,,8.57E+08,50.73997,,8.57E+08,50.15762,,8.57E+08,50.25195,,8.57E+08,50.385,,8.57E+08,48.8342,,8.57E+08,50.04583,,8.57E+08,49.76082,,8.57E+08,50.12774,,8.57E+08,50.0383,,8.57E+08,50.00649,,8.57E+08,50.10649,,8.57E+08,50.26729,,8.57E+08,49.75544,,8.57E+08,50.0984,,8.57E+08,49.93393
8.97E+08,49.69721,,8.97E+08,50.70402,,8.97E+08,50.15945,,8.97E+08,50.2414,,8.97E+08,50.35368,,8.97E+08,48.87177,,8.97E+08,50.04075,,8.97E+08,49.77415,,8.97E+08,50.12959,,8.97E+08,50.03228,,8.97E+08,50.02062,,8.97E+08,50.10358,,8.97E+08,50.25638,,8.97E+08,49.76833,,8.97E+08,50.09493,,8.97E+08,49.93465
9.37E+08,49.74388,,9.37E+08,50.66757,,9.37E+08,50.16196,,9.37E+08,50.23057,,9.37E+08,50.32155,,9.37E+08,48.91349,,9.37E+08,50.0364,,9.37E+08,49.78713,,9.37E+08,50.13182,,9.37E+08,50.028,,9.37E+08,50.02733,,9.37E+08,50.10053,,9.37E+08,50.24562,,9.37E+08,49.78068,,9.37E+08,50.09197,,9.37E+08,49.93515
9.77E+08,49.77463,,9.77E+08,50.6321,,9.77E+08,50.16449,,9.77E+08,50.22091,,9.77E+08,50.28958,,9.77E+08,48.94832,,9.77E+08,50.03108,,9.77E+08,49.79992,,9.77E+08,50.13499,,9.77E+08,50.02363,,9.77E+08,50.03249,,9.77E+08,50.09775,,9.77E+08,50.23636,,9.77E+08,49.79326,,9.77E+08,50.09006,,9.77E+08,49.94846
